위도,경도,순번,기관분류,기관명,기관주소_도로명,의료기관분류,지역,대표전화,대표전화2,팩스번호,기준일자
35.8501251,128.5301312,47,요양병원,신홍도요양병원,"대구광역시 달서구 용산로 141, 그랜드M 타워 지하1, 지상2,10,11층 (용산동)",응급의료기관이외,대구,053-526-5991,053-526-5991,053-526-5992,2024-05-20
35.81518397,128.5272977,48,요양병원,월배요양병원,"대구광역시 달서구 월배로 119, 3,6,7,8층 (진천동)",응급의료기관이외,대구,053-632-0808,053-632-0808,053-634-0011,2024-05-20
35.8573514,128.558435,49,요양병원,의료법인상보의료재단 대구경상요양병원,"대구광역시 달서구 달구벌대로 1762, 두류빌딩 7,8층 (두류동)",응급의료기관이외,대구,053-620-7300,053-620-7300,053-623-1177,2024-05-20
35.83199586,128.5508963,50,요양병원,중앙요양병원,"대구광역시 달서구 월배로83길 14, 지하1, 2~5층 (송현동)",응급의료기관이외,대구,053-654-7575,053-626-4430,053-654-5654,2024-05-20
35.83902224,128.5576088,51,요양병원,한결요양병원,대구광역시 달서구 대명천로 15 (성당동),응급의료기관이외,대구,053-591-9111,053-591-9111,053-592-9555,2024-05-20
35.83317022,128.5542361,52,요양병원,해오름요양병원,대구광역시 달서구 월배로 446(송현동),응급의료기관이외,대구,053-710-3119,053-710-3119,053-710-0110,2024-05-20
35.85153984,128.5732847,53,요양병원,휴요양병원,"대구광역시 달서구 성당로 215, 1~7층 (두류동)",응급의료기관이외,대구,053-652-2220,053-652-2220,053-652-2221,2024-05-20
35.81718285,128.523659,54,치과의원,e드림치과의원,"대구광역시 달서구 진천로 92, 3층 (대천동)",응급의료기관이외,대구,053-633-3060,053-633-3060,053-633-0652,2024-05-20
35.82192024,128.5285929,55,치과의원,E-행복한치과의원,"대구광역시 달서구 조암남로 38, 403호 (월성동)",응급의료기관이외,대구,053-426-2875,053-426-2875,053-255-7528,2024-05-20
35.82480089,128.525314,56,치과의원,가온해치과의원,"대구광역시 달서구 조암로 40, 3층 (월성동)",응급의료기관이외,대구,053-636-2275,053-636-2275,053-636-2274,2024-05-20
35.8532319,128.4788686,57,치과의원,강창더좋은치과의원,"대구광역시 달서구 달구벌대로 1019, 302호 (호산동)",응급의료기관이외,,053-253-7528,053-253-7528,053-253-7527,2024-05-20
35.83158937,128.533151,58,치과의원,건도미치과의원,"대구광역시 달서구 월성로 20, 2층 (월성동, 건도파라다이스)",응급의료기관이외,대구,053-641-2875,053-641-2875,053-642-1080,2024-05-20
35.84811352,128.5284572,59,치과의원,고른이연합치과의원,대구광역시 달서구 한들로 19,응급의료기관이외,대구,053-527-7100,053-527-7100,053-527-7101,2024-05-20
35.82411628,128.5454077,60,치과의원,고앤박치과의원,대구광역시 달서구 월배로 317 (송현동),응급의료기관이외,대구,053-624-7511,053-624-7511,053-624-7512,2024-05-20
35.84955946,128.5357182,61,치과의원,고운치과의원,대구광역시 달서구 달구벌대로 1542 (감삼동),응급의료기관이외,대구,053-555-2804,053-555-2804,053-553-7582,2024-05-20
35.85152556,128.4999828,62,치과의원,공단치과의원,대구광역시 달서구 달구벌대로 1212 (이곡동),응급의료기관이외,대구,053-588-2828,053-588-2828,053-587-8702,2024-05-20
35.85566593,128.5525994,63,치과의원,광장치과의원,대구광역시 달서구 달구벌대로 1708 (두류동),응급의료기관이외,대구,053-622-5545,053-622-5545,,2024-05-20
35.85570432,128.4986362,64,치과의원,구일치과의원,대구광역시 달서구 계대동문로 57 (신당동),응급의료기관이외,대구,053-583-5221,053-583-5221,053-584-0281,2024-05-20
35.82438159,128.5243262,65,치과의원,굿웰치과의원,"대구광역시 달서구 조암로 48, 301호 (월성동)",응급의료기관이외,대구,053-631-2879,053-631-2879,053-631-2878,2024-05-20
35.8537866,128.5477038,66,치과의원,권부부치과의원,"대구광역시 달서구 달구벌대로 1660, 2층 (감삼동)",응급의료기관이외,대구,053-567-2875,053-567-2875,053-567-2875,2024-05-20
35.81739386,128.5450739,67,치과의원,권순복옥치과의원,"대구광역시 달서구 상인로 122, 1층 (상인동)",응급의료기관이외,대구,053-617-2877,053-617-2877,053-617-2807,2024-05-20
35.84934214,128.5339233,68,치과의원,권앤김플란트치과의원,"대구광역시 달서구 달구벌대로 1530, 301동 309호 (감삼동)",응급의료기관이외,대구,053-567-2275,053-567-2275,053-566-2275,2024-05-20
35.83781625,128.557224,69,치과의원,권치과의원,대구광역시 달서구 성당로 1 (성당동),응급의료기관이외,대구,053-652-9432,053-652-9432,053-652-9432,2024-05-20
35.81321984,128.5209329,70,치과의원,그랜드치과의원,"대구광역시 달서구 월배로 58, 4층 (진천동)",응급의료기관이외,대구,053-633-2875,053-633-2875,053-633-2876,2024-05-20
35.85779091,128.5291084,71,치과의원,길치과의원,대구광역시 달서구 용산서로 14 (용산동),응급의료기관이외,대구,053-521-2275,053-521-2275,053-635-2875,2024-05-20
35.8077806,128.5301145,72,치과의원,김병삼치과의원,"대구광역시 달서구 한실로 27 (도원동, 나래마을상가)",응급의료기관이외,대구,053-642-9522,053-642-9522,053-635-2875,2024-05-20
35.85920611,128.5627219,73,치과의원,김석호치과의원,"대구광역시 달서구 달구벌대로 1808, 2층 (두류동)",응급의료기관이외,대구,053-555-2855,053-555-2855,053-566-2855,2024-05-20
35.85048245,128.5719929,74,치과의원,김성진치과의원,"대구광역시 달서구 성당로 195, 3층 (성당동)",응급의료기관이외,대구,053-624-2755,053-624-2755,053-622-2754,2024-05-20
35.84526642,128.544324,75,치과의원,김소진치과의원,"대구광역시 달서구 당산로 87, (감삼동)",응급의료기관이외,대구,053-611-2875,053-611-2875,053-572-2875,2024-05-20
35.85533013,128.495412,76,치과의원,김승민치과의원,대구광역시 달서구 계대동문로 30 (신당동),응급의료기관이외,대구,053-584-6512,053-584-6512,,2024-05-20
35.83744891,128.5489306,77,치과의원,김영재치과의원,대구광역시 달서구 구마로 193 (성당동),응급의료기관이외,대구,053-623-7051,053-623-7051,053-654-2875,2024-05-20
35.80693632,128.5375445,78,치과의원,김종원치과의원,대구광역시 달서구 한실로 99 (도원동),응급의료기관이외,대구,053-632-2804,053-632-2804,053-632-2805,2024-05-20
35.83763366,128.5420026,79,치과의원,김종환치과의원,대구광역시 달서구 구마로 131 (본리동),응급의료기관이외,대구,053-527-2875,053-527-2875,053-526-2875,2024-05-20
35.83161796,128.5307715,80,치과의원,김창희치과의원,"대구광역시 달서구 월성로 42, 204호 (월성동)",응급의료기관이외,대구,053-644-2754,053-644-2754,053-638-2754,2024-05-20
35.85501535,128.5123939,81,치과의원,노치과의원,"대구광역시 달서구 이곡공원로 46, 2층 (이곡동)",응급의료기관이외,대구,053-588-2875,053-588-2875,053-588-2876,2024-05-20
35.81589672,128.5291837,82,치과의원,늘곁에구강내과치과의원,대구광역시 달서구 월배로 137 (진천동),응급의료기관이외,대구,053-719-3232,053-719-3232,053-719-3233,2024-05-20
35.84308719,128.5418959,83,치과의원,늘봄치과의원,"대구광역시 달서구 장기로 167, 223동 206호 (본리동)",응급의료기관이외,대구,053-551-2275,053-551-2275,053-551-2276,2024-05-20
35.82519371,128.5463226,84,치과의원,니즈연합치과의원,대구광역시 달서구 월배로 331 (송현동),응급의료기관이외,대구,053-622-2874,053-622-2874,053-622-1910,2024-05-20
35.81414241,128.5222669,85,치과의원,다인치과의원,"대구광역시 달서구 월배로 71 (진천동, 트윈팰리스상가)",응급의료기관이외,대구,053-643-2879,053-643-2879,053-643-2801,2024-05-20
35.8153036,128.5205482,86,치과의원,달서참조은치과의원,대구광역시 달서구 진천로23길 70 (대천동),응급의료기관이외,대구,053-643-2825,053-643-2825,053-643-2827,2024-05-20
35.81496073,128.5268204,87,치과의원,달서치과의원,대구광역시 달서구 월배로 113 (진천동),응급의료기관이외,대구,053-632-2667,053-632-2667,053-641-2804,2024-05-20
35.80731242,128.5340615,88,치과의원,대곡더좋은치과의원,"대구광역시 달서구 한실로 67, 2층 (도원동)",응급의료기관이외,대구,053-635-2875,053-635-2875,053-635-2876,2024-05-20
35.80723419,128.5354331,89,치과의원,대곡치과의원,"대구광역시 달서구 도원로 30, 302호 (도원동, 대곡프라자)",응급의료기관이외,대구,053-638-9600,053-638-9600,053-638-9601,2024-05-20
35.8398497,128.5442648,90,치과의원,대구민치과의원,"대구광역시 달서구 당산로 27, 카동 201호 (본리동)",응급의료기관이외,대구,053-524-7722,053-524-7722,053-524-7723,2024-05-20
35.8571589,128.5308075,91,치과의원,대구본플란트치과의원,"대구광역시 달서구 용산로 220, 4층 (용산동)",응급의료기관이외,대구,053-269-2828,053-269-2828,053-269-2928,2024-05-20
35.81623903,128.5312664,92,치과의원,대구심플라인치과의원,"대구광역시 달서구 월배로 156, 5층 (상인동)",응급의료기관이외,대구,053-637-0077,053-637-0077,053-634-0055,2024-05-20
35.85515612,128.5047111,93,치과의원,대구에스치과의원,대구광역시 달서구 달구벌대로251길 33 (이곡동),응급의료기관이외,대구,053-586-7575,053-586-7575,053-586-8899,2024-05-20
35.85394679,128.5461771,94,치과의원,더원연합치과의원,"대구광역시 달서구 달구벌대로 1647, 더원정형외과 7층 (감삼동)",응급의료기관이외,대구,053-523-2800,053-523-2800,,2024-05-20
35.81392961,128.5214576,95,치과의원,더원치과의원,"대구광역시 달서구 월배로 63, 3층 (진천동)",응급의료기관이외,대구,053-632-3100,053-632-3100,053-632-3100,2024-05-20
35.83686255,128.547067,96,치과의원,도기용치과의원,대구광역시 달서구 구마로 176 (본동),응급의료기관이외,대구,053-656-2875,053-656-2875,053-626-3397,2024-05-20
35.85417785,128.5488691,97,치과의원,도치과의원,대구광역시 달서구 달구벌대로 1670 (두류동),응급의료기관이외,대구,053-552-1250,053-552-1250,053-552-1257,2024-05-20
35.81330797,128.5456988,98,치과의원,동서연합치과의원,"대구광역시 달서구 상화북로 185, 301호 (상인동)",응급의료기관이외,대구,053-636-6777,053-636-6777,053-636-6797,2024-05-20
35.81688208,128.5325986,99,치과의원,디지털온치과의원,"대구광역시 달서구 월배로 170, 5,7층 (상인동)",응급의료기관이외,대구,053-642-1600,053-642-1600,053-638-1650,2024-05-20
35.8510425?128.5375312,,100,치과의원,똑디치과의원,"대구광역시 달서구 와룡로 206, 4층층 (죽전동)",응급의료기관이외,대구,053-563-7980,053-563-7980,053-522-7980,2024-05-20
35.85502574,128.5120729,101,치과의원,라임치과의원,대구광역시 달서구 이곡공원로 42 (이곡동),응급의료기관이외,대구,053-587-2875,053-587-2875,053-587-2876,2024-05-20
35.81758446,128.5327472,102,치과의원,램브란트치과의원 상인점,"대구광역시 달서구 월배로 175, 6층 (상인동)",응급의료기관이외,대구,053-643-2875,053-643-2875,053-643-2877,2024-05-20
35.80965517,128.5135954,103,치과의원,로뎀치과의원,"대구광역시 달서구 비슬로 2728, 2층 (대곡동)",응급의료기관이외,대구,053-637-5080,053-637-5080,053-635-9080,2024-05-20
35.821599,128.5207763,104,치과의원,로즈치과교정과치과의원,"대구광역시 달서구 조암로 5, 504, 505호 (월성동)",응급의료기관이외,대구,053-637-2275,053-637-2275,053-637-2275,2024-05-20
35.80717774,128.5359638,105,치과의원,로하스치과의원,대구광역시 달서구 도원로 29 (도원동),응급의료기관이외,대구,053-633-8024,053-633-8024,053-633-8024,2024-05-20
35.81834314,128.5344233,106,치과의원,리더스치과의원,"대구광역시 달서구 월배로 191, 2층 (상인동)",응급의료기관이외,대구,053-643-2804,053-643-2804,053-643-2806,2024-05-20
35.81855456,128.5355203,107,치과의원,맥앤정인치과의원,대구광역시 달서구 월배로 201 (상인동),응급의료기관이외,대구,053-626-7575,053-626-7575,053-636-6575,2024-05-20
35.80760993,128.5360663,108,치과의원,메디안연합치과의원,"대구광역시 달서구 도원로 23, 2층 (도원동)",응급의료기관이외,대구,053-638-2662,053-638-2662,053-638-2668,2024-05-20
35.85427987,128.5094331,109,치과의원,명문치과의원,대구광역시 달서구 이곡동로 17 (이곡동),응급의료기관이외,대구,053-583-3100,053-583-3100,053-583-5967,2024-05-20
35.82426708,128.5257753,110,치과의원,미뉴치과교정과치과의원,"대구광역시 달서구 조암로 41, 401호 (월성동)",응급의료기관이외,대구,053-710-2885,053-710-2885,053-710-2886,2024-05-20
35.85848585,128.5309399,111,치과의원,미담치과의원,"대구광역시 달서구 용산로 236, 5층 (용산동)",응급의료기관이외,대구,053-571-2080,053-571-2080,053-571-2080,2024-05-20
35.85025339,128.4736813,112,치과의원,미라인치과의원,대구광역시 달서구 호산로 125 (파호동),응급의료기관이외,대구,053-586-7528,053-586-7528,053-586-2878,2024-05-20
35.85393449,128.5185095,113,치과의원,미부부치과의원,대구광역시 달서구 성지로 27 (용산동),응급의료기관이외,대구,053-591-2875,053-591-2875,053-591-2876,2024-05-20
35.82115374,128.5286764,114,치과의원,미소담치과의원,대구광역시 달서구 조암남로 41 (월성동),응급의료기관이외,대구,053-636-3344,053-636-3344,053-636-3368,2024-05-20
35.83547125,128.5556136,115,치과의원,미소본치과의원,"대구광역시 달서구 월배로 473, 5층 (송현동)",응급의료기관이외,대구,053-655-2855,053-655-2855,053-655-2856,2024-05-20
35.81916458,128.5218682,116,치과의원,미주치과의원,"대구광역시 달서구 진천로 120, 4층(대천동)",응급의료기관이외,대구,053-637-2804,053-637-2804,053-635-2805,2024-05-20
35.82237397,128.5479854,117,치과의원,바른길구강악안면외과치과의원,대구광역시 달서구 송현로 38,응급의료기관이외,대구,053-634-7800,053-634-7800,053-634-6887,2024-05-20
35.85508885,128.5078329,118,치과의원,바른이연합치과의원,"대구광역시 달서구 성서로 420, 메가타운 205,206호 (이곡동)",응급의료기관이외,대구,053-593-2080,053-593-2080,053-593-2081,2024-05-20
35.81866168,128.5377676,119,치과의원,바오로치과의원,"대구광역시 달서구 월배로 222, 2층 (상인동)",응급의료기관이외,대구,053-631-0009,053-631-0009,053-631-0079,2024-05-20
35.83404219,128.5488628,120,치과의원,박현탁치과의원,대구광역시 달서구 학산로 203 (송현동),응급의료기관이외,대구,053-628-3951,053-628-3951,053-628-3951,2024-05-20
35.85559881,128.5213104,121,치과의원,밝은e치과의원,대구광역시 달서구 성지로 72 (용산동),응급의료기관이외,대구,053-581-2827,053-581-2827,053-581-2827,2024-05-20
35.843353,128.536769,122,치과의원,밝은결치과의원,"대구광역시 달서구 장기로 217, 4층 (본리동)",응급의료기관이외,대구,053-716-2785,053-716-2785,053-716-2786,2024-05-20
35.85042049,128.5346501,123,치과의원,배치과의원,대구광역시 달서구 달구벌대로307길 10,응급의료기관이외,대구,053-566-7809,053-566-7809,053-566-7809,2024-05-20
35.81850138,128.5373349,124,치과의원,베스트연합치과의원,대구광역시 달서구 월배로 218 (상인동),응급의료기관이외,대구,053-643-2080,053-643-2080,053-643-2081,2024-05-20
35.81545362,128.5295127,125,치과의원,보스톤스마일치과의원,대구광역시 달서구 월배로 138,응급의료기관이외,대구,053-637-6845,053-637-6845,053-642-9877,2024-05-20
35.84334216,128.5312483,126,치과의원,본리치과의원,대구광역시 달서구 장기로 265 (장기동),응급의료기관이외,대구,053-562-2875,053-562-2875,053-522-2875,2024-05-20
35.85365234,128.5455219,127,치과의원,분도치과의원,대구광역시 달서구 달구벌대로 1641 (감삼동),응급의료기관이외,대구,053-556-0606,053-556-0606,053-561-3723,2024-05-20
35.85572805,128.5528102,128,치과의원,불꽃치과의원,"대구광역시 달서구 달구벌대로 1710, 3층 (두류동)",응급의료기관이외,대구,053-622-7528,053-622-7528,053-622-5752,2024-05-20
35.81812444,128.5389813,129,치과의원,뿌리연합치과의원,"대구광역시 달서구 월곡로 266, 3층 (상인동, 월곡빌딩)",응급의료기관이외,대구,053-631-2875,053-631-2875,053-631-1975,2024-05-20
35.85629,128.554283,130,치과의원,삼마치과의원,"대구광역시 달서구 달구벌대로 1726, 5층 (두류동)",응급의료기관이외,대구,053-421-2876,053-421-2876,053-421-2877,2024-05-20
35.85025339,128.4736813,131,치과의원,삼성제일치과의원,대구광역시 달서구 호산로 125 (파호동),응급의료기관이외,대구,053-591-7585,053-591-7585,053-591-7586,2024-05-20
35.82211981,128.5344044,132,치과의원,상인강치과의원,대구광역시 달서구 월곡로 330 (상인동),응급의료기관이외,대구,053-639-5400,053-639-5400,053-639-5405,2024-05-20
35.81802126,128.5358598,133,치과의원,상인서울치과의원,"대구광역시 달서구 월배로 202, 5층 (상인동)",응급의료기관이외,대구,053-641-2080,053-641-2080,053-641-2081,2024-05-20
35.80951414,128.5514377,134,치과의원,상인치과의원,"대구광역시 달서구 상인로 14, 202호 (상인동)",응급의료기관이외,대구,053-638-2744,053-638-2744,053-634-2744,2024-05-20
35.81870641,128.5398484,135,치과의원,상인행복을심는치과의원,대구광역시 달서구 상인서로 107,응급의료기관이외,대구,053-633-7504,053-633-7504,053-635-7504,2024-05-20
35.85500414,128.5212622,136,치과의원,샘깊은치과의원,대구광역시 달서구 성지로 66 (용산동),응급의료기관이외,대구,053-587-7528,053-587-7528,053-587-7529,2024-05-20
35.85215632,128.5434966,137,치과의원,서광치과의원,대구광역시 달서구 달구벌대로 1616,응급의료기관이외,대구,053-573-2875,053-573-2875,053-573-2876,2024-05-20
35.85441973,128.5472211,138,치과의원,서대구강연합치과의원,대구광역시 달서구 달구벌대로 1657 (감삼동),응급의료기관이외,대구,053-628-1100,053-628-1100,053-628-1110,2024-05-20
35.85546072,128.5521441,139,치과의원,서대구리더스치과의원,"대구광역시 달서구 달구벌대로 1704, 2층 (두류동)",응급의료기관이외,대구,053-587-8275,053-587-8275,053-586-7345,2024-05-20
35.81802126,128.5358598,140,치과의원,서대구아이큰숲치과의원,"대구광역시 달서구 월배로 202, 2층 (상인동, 남정빌딩)",응급의료기관이외,대구,053-637-1275,053-637-1275,,2024-05-20
35.82978675,128.5510803,141,치과의원,서대구치과의원,"대구광역시 달서구 월배로 398, 3층 (송현동)",응급의료기관이외,대구,053-623-6675,053-623-6675,053-628-1498,2024-05-20
35.85015341,128.5339066,142,치과의원,서대구탑치과의원,"대구광역시 달서구 달구벌대로 1525, 5층 501호 (죽전동)",응급의료기관이외,대구,053-556-2800,053-556-2800,053-556-2900,2024-05-20
35.80796401,128.5354933,143,치과의원,서운치과의원,대구광역시 달서구 도원로 20 (도원동),응급의료기관이외,대구,053-642-9595,053-642-9595,053-642-9506,2024-05-20
35.82482776,128.5274059,144,치과의원,서울바른플란트치과의원,"대구광역시 달서구 조암로 25, 3층 302호 (월성동)",응급의료기관이외,대구,053-632-0202,053-632-0202,053-642-0002,2024-05-20
35.85508798,128.5059064,145,치과의원,서울얀치과의원,"대구광역시 달서구 계대동문로 124, 4층 (이곡동)",응급의료기관이외,대구,053-593-9922,053-593-9922,053-593-9924,2024-05-20
35.82625298,128.5291972,146,치과의원,서울에스(S) 치과의원,"대구광역시 달서구 조암로 4, 5층 (월성동, 그루메디컬빌딩)",응급의료기관이외,대구,053-477-7575,053-477-7575,053-477-7576,2024-05-20
35.80726538,128.5345038,147,치과의원,서울치과의원,대구광역시 달서구 한실로 71 (도원동),응급의료기관이외,대구,053-641-7585,053-641-7585,053-641-0228,2024-05-20
