위도,경도,번호,구분,업종명,업소명,소재지(도로명),소재지(지번),소재지전화,식단,행정동명,주관부서,기준일자
128.5251613,35.85419814,29,,일반음식점,1923왕족발,"대구광역시 달서구 장산로 48 (용산동,(지상1층))",대구광역시 달서구 용산동 947-15 (지상1층) ,053-563-3430,,용산1동,대구광역시 달서구 위생과,2024-05-30
128.4939626,35.85510384,30,,일반음식점,1943성서계대점,"대구광역시 달서구 서당로7길 28 (신당동,(2층))",대구광역시 달서구 신당동 1790-11 (2층) ,053-583-5831,,신당동,대구광역시 달서구 위생과,2024-05-30
128.5103564,35.85451135,31,,일반음식점,1990 아구찜,"대구광역시 달서구 이곡동로 73, 1층 (이곡동)",대구광역시 달서구 이곡동 1250-1 ,053-286-4604,,이곡1동,대구광역시 달서구 위생과,2024-05-30
128.5374017,35.83458618,32,,일반음식점,1995&음악맥주,"대구광역시 달서구 와룡로 20, 2층 (본동)",대구광역시 달서구 본동 959-2 ,,,본동,대구광역시 달서구 위생과,2024-05-30
128.5385009,35.81585509,33,,일반음식점,19일,"대구광역시 달서구 월배로46길 70, 1층 (상인동)",대구광역시 달서구 상인동 583-98 ,,,상인1동,대구광역시 달서구 위생과,2024-05-30
128.5737722,35.85504,34,,일반음식점,1등 참집,"대구광역시 달서구 성당로 255, 2층 (두류동)",대구광역시 달서구 두류동 778-1 ,,,두류1.2동,대구광역시 달서구 위생과,2024-05-30
128.5441114,35.82504703,35,,일반음식점,1번지 해물찜,대구광역시 달서구 송현로 86 (송현동),대구광역시 달서구 송현동 1912-1 ,,,송현1동,대구광역시 달서구 위생과,2024-05-30
128.5460201,35.84528945,36,,일반음식점,1인칭 피자시점 성당점,"대구광역시 달서구 당산동길 25, 1층 (성당동)",대구광역시 달서구 성당동 706-20 ,,,성당동,대구광역시 달서구 위생과,2024-05-30
128.5512737,35.80871594,37,,일반음식점,1촌떡볶이,"대구광역시 달서구 월곡로26길 51, 1층 (상인동)",대구광역시 달서구 상인동 1582-16 1층 ,,,상인3동,대구광역시 달서구 위생과,2024-05-30
128.5428578,35.84602399,38,,일반음식점,1키로탕수육 죽전네거리점,"대구광역시 달서구 와룡로32길 100, 1층 (감삼동)",대구광역시 달서구 감삼동 293-3 ,,,감삼동,대구광역시 달서구 위생과,2024-05-30
128.526096,35.80880397,39,,일반음식점,200%한우터,"대구광역시 달서구 상화로 111 (진천동,(지상1층))",대구광역시 달서구 진천동 809-116 (지상1층) ,053-635-7977,,진천동,대구광역시 달서구 위생과,2024-05-30
128.5128331,35.85028079,40,,일반음식점,24시돼지국밥,대구광역시 달서구 성서동로65길 51 (이곡동),대구광역시 달서구 이곡동 1000-147 ,053-582-2958,,이곡1동,대구광역시 달서구 위생과,2024-05-30
128.536157,35.80847754,41,,일반음식점,24시전주명가콩나물국밥,"대구광역시 달서구 도원로 13, 1층 (도원동)",대구광역시 달서구 도원동 1435-1 ,053-642-7477,,도원동,대구광역시 달서구 위생과,2024-05-30
128.5212441,35.81891342,42,,일반음식점,24시전주명가콩나물국밥월배점,"대구광역시 달서구 진천로 117, 1층 115,116호 (대천동)",대구광역시 달서구 대천동 511-3 ,,,유천동,대구광역시 달서구 위생과,2024-05-30
128.5566393,35.83931286,43,,일반음식점,25시 국수집,"대구광역시 달서구 대명천로6길 5 (성당동,(지상1층))",대구광역시 달서구 성당동 202-30 (지상1층) ,053-623-3301,,성당동,대구광역시 달서구 위생과,2024-05-30
128.4960512,35.85903393,44,,일반음식점,25시(時)국수,대구광역시 달서구 선원로 34 (신당동),대구광역시 달서구 신당동 1745 ,053-581-2889,,신당동,대구광역시 달서구 위생과,2024-05-30
128.5305226,35.83480918,45,,일반음식점,25시숯불바베큐,대구광역시 달서구 학산로7길 73 (본동),대구광역시 달서구 본동 0612-0006 ,053-636-2599,,본동,대구광역시 달서구 위생과,2024-05-30
128.4864281,35.84997058,46,,일반음식점,2DAY(투데이) 포장마차,"대구광역시 달서구 호산동로36남길 20 (호산동,(1층))",대구광역시 달서구 호산동 386-9 (1층) ,053-585-3002,,신당동,대구광역시 달서구 위생과,2024-05-30
128.5310137,35.85633152,47,,일반음식점,2대 왕갈비,"대구광역시 달서구 용산로 212-6 (용산동,(1층))",대구광역시 달서구 용산동 0950-0011 (1층) ,053-525-7777,,용산1동,대구광역시 달서구 위생과,2024-05-30
128.5460201,35.84528945,48,,일반음식점,2탄청송얼음막걸리,"대구광역시 달서구 당산동길 25 (성당동,(1층))",대구광역시 달서구 성당동 706-20 (1층) ,053-628-0079,,성당동,대구광역시 달서구 위생과,2024-05-30
128.4936118,35.85351315,49,,일반음식점,2피자1치킨상회 2호점,"대구광역시 달서구 신당로 12-1, 1층 (신당동)",대구광역시 달서구 신당동 1818-5 ,,,신당동,대구광역시 달서구 위생과,2024-05-30
128.550715,35.80957024,50,,일반음식점,3.9치킨,"대구광역시 달서구 상인로 17 (상인동,(지상1층))",대구광역시 달서구 상인동 1579-1 (지상1층) ,053-639-8839,,상인1동,대구광역시 달서구 위생과,2024-05-30
128.5285932,35.82192015,51,,일반음식점,33떡볶이 신월성점,"대구광역시 달서구 조암남로 38 (월성동,원더풀메티컬센터 104호)",대구광역시 달서구 월성동 1269-1 원더풀메티컬센터 104호 ,,,월성1동,대구광역시 달서구 위생과,2024-05-30
128.5649924,35.85945319,52,,일반음식점,365먹골촌,"대구광역시 달서구 파도고개로30길 2 (두류동,외1필지(지상1층))",대구광역시 달서구 두류동 88-8 외1필지(지상1층) ,053-622-0222,,두류1.2동,대구광역시 달서구 위생과,2024-05-30
128.5363695,35.85852503,53,,일반음식점,365스크린식당,"대구광역시 달서구 평리로 110, A동 1층 (죽전동)",대구광역시 달서구 죽전동 365-1 ,,,죽전동,대구광역시 달서구 위생과,2024-05-30
128.5345361,35.85127616,54,,일반음식점,39치킨,"대구광역시 달서구 달구벌대로307길 28, 지상1층 (죽전동)",대구광역시 달서구 죽전동 270-1 (지상1층) ,053-554-8239,,죽전동,대구광역시 달서구 위생과,2024-05-30
128.5401216,35.85048376,55,,일반음식점,39치킨,"대구광역시 달서구 감삼북길 164 (감삼동,외 1필지(지상1층))",대구광역시 달서구 감삼동 140-27 외 1필지(지상1층) ,053-523-8239,,감삼동,대구광역시 달서구 위생과,2024-05-30
128.4956358,35.85813795,56,,일반음식점,39치킨,"대구광역시 달서구 서당로 71, 1층 (신당동)",대구광역시 달서구 신당동 1734 ,053-581-8239,,신당동,대구광역시 달서구 위생과,2024-05-30
128.4773975,35.85244302,57,,일반음식점,39치킨,"대구광역시 달서구 호산로29길 117, 1층 (파호동)",대구광역시 달서구 파호동 82-26 ,053-582-8239,,신당동,대구광역시 달서구 위생과,2024-05-30
128.536099,35.8112088,58,,일반음식점,39치킨,"대구광역시 달서구 상원로 13, 1층 (상인동)",대구광역시 달서구 상인동 1458-8 ,053-636-8239,,상인1동,대구광역시 달서구 위생과,2024-05-30
128.5166714,35.81816918,59,,일반음식점,39치킨 호프,"대구광역시 달서구 조암남로32길 20-4, 1층 116호 (대천동)",대구광역시 달서구 대천동 940-2 ,,,유천동,대구광역시 달서구 위생과,2024-05-30
128.5486367,35.82445711,60,,일반음식점,39치킨호프,"대구광역시 달서구 월배로68길 34 (송현동,(지상1층))",대구광역시 달서구 송현동 798-317 (지상1층) ,053-621-5534,,송현1동,대구광역시 달서구 위생과,2024-05-30
128.5521743,35.8259975,61,,일반음식점,3시포차,"대구광역시 달서구 월배로74길 67 (송현동,(지상1층))",대구광역시 달서구 송현동 1974-22 (지상1층) ,053-652-1256,,송현1동,대구광역시 달서구 위생과,2024-05-30
128.5077603,35.85712127,62,,일반음식점,3식이왕솥뚜껑3겹살,"대구광역시 달서구 선원남로 70, 1층 (이곡동)",대구광역시 달서구 이곡동 1227-7 ,053-584-1515,,이곡1동,대구광역시 달서구 위생과,2024-05-30
128.5510437,35.85374959,63,,일반음식점,3쓰리,"대구광역시 달서구 당산로38길 46, 2층 (두류동)",대구광역시 달서구 두류동 630-65 ,,,두류1.2동,대구광역시 달서구 위생과,2024-05-30
128.4946859,35.85530211,64,,일반음식점,5.Am포차,"대구광역시 달서구 계대동문로 22-1, 1층 (신당동)",대구광역시 달서구 신당동 1804-3 ,,,신당동,대구광역시 달서구 위생과,2024-05-30
128.5088741,35.85047477,65,,일반음식점,5月푸드,"대구광역시 달서구 달구벌대로260길 20, 1층 (이곡동)",대구광역시 달서구 이곡동 661-20 ,053-583-5347,,이곡1동,대구광역시 달서구 위생과,2024-05-30
128.5390246,35.84984899,66,,일반음식점,5일장터,"대구광역시 달서구 감삼길 20 (감삼동,(지상1층))",대구광역시 달서구 감삼동 143-2 (지상1층) ,053-557-7703,,감삼동,대구광역시 달서구 위생과,2024-05-30
128.5242446,35.81323413,67,,일반음식점,60계치킨대구진천점,"대구광역시 달서구 진천로 51 (진천동,지상1층)",대구광역시 달서구 진천동 505-4 지상1층 ,053-622-0230,,진천동,대구광역시 달서구 위생과,2024-05-30
128.5240632,35.81995008,68,,일반음식점,60계치킨월성대천점,"대구광역시 달서구 조암남로 85, 주건축물제1동 1층 112호 (월성동)",대구광역시 달서구 월성동 1394-2 ,053-633-6082,,월성1동,대구광역시 달서구 위생과,2024-05-30
128.5329781,35.81633118,69,,일반음식점,700비어상인점,대구광역시 달서구 상원로 83 (상인동),대구광역시 달서구 상인동 1441-1 ,053-636-2292,,상인1동,대구광역시 달서구 위생과,2024-05-30
128.559245,35.85595938,70,,일반음식점,7080전은주라이브,대구광역시 달서구 두류공원로50길 2 (두류동),대구광역시 달서구 두류동 147-1 ,053-637-0789,,두류1.2동,대구광역시 달서구 위생과,2024-05-30
128.509451,35.85755061,71,,일반음식점,79참숯구이,"대구광역시 달서구 선원남로 77, 210동 108호 (이곡동,한샘아파트)",대구광역시 달서구 이곡동 1306-1 한샘아파트 210동 108호,053-591-7001,,이곡1동,대구광역시 달서구 위생과,2024-05-30
128.5497204,35.83807761,72,,일반음식점,79초밥 성당점,"대구광역시 달서구 야외음악당로2길 56, 1층 (성당동)",대구광역시 달서구 성당동 824-30 ,,,성당동,대구광역시 달서구 위생과,2024-05-30
128.5058398,35.8527387,73,,일반음식점,7번가(7th Avenue),"대구광역시 달서구 달구벌대로251안길 7, 2층 (이곡동)",대구광역시 달서구 이곡동 1224-4 ,,,이곡1동,대구광역시 달서구 위생과,2024-05-30
128.5464379,35.82234067,74,,일반음식점,7성급 푸드랩(food lab),"대구광역시 달서구 송현로11길 13, 1층 (상인동)",대구광역시 달서구 상인동 804-4 ,053-655-5802,,상인1동,대구광역시 달서구 위생과,2024-05-30
128.5238651,35.81363546,75,,일반음식점,830샐러드앤키토 월배진천점,"대구광역시 달서구 월배로 80, 401동 1층 135호 (진천동, 진천역대성스카이렉스아파트)",대구광역시 달서구 진천동 508 진천역대성스카이렉스아파트 ,,,진천동,대구광역시 달서구 위생과,2024-05-30
128.4942092,35.85349671,76,,일반음식점,88왕족발,"대구광역시 달서구 신당로 18, 1층 (신당동)",대구광역시 달서구 신당동 1842 ,0053-582-1466,,신당동,대구광역시 달서구 위생과,2024-05-30
128.5519083,35.85437824,77,,일반음식점,88포장마차,"대구광역시 달서구 달구벌대로344길 54, 1층 (두류동)",대구광역시 달서구 두류동 496-2 ,,,두류1.2동,대구광역시 달서구 위생과,2024-05-30
128.5358713,35.81604192,78,,일반음식점,8시20분,"대구광역시 달서구 월곡로53길 65, 1층 (상인동)",대구광역시 달서구 상인동 1411 ,,,상인1동,대구광역시 달서구 위생과,2024-05-30
128.4925299,35.85425654,79,,일반음식점,90.LEE식당,"대구광역시 달서구 서당로7길 66, 1층 (신당동)",대구광역시 달서구 신당동 1793-7 ,,,신당동,대구광역시 달서구 위생과,2024-05-30
128.5258162,35.8230909,80,,일반음식점,936집,"대구광역시 달서구 조암남로14길 52-1, 1층 (월성동)",대구광역시 달서구 월성동 1183-3 ,,,월성1동,대구광역시 달서구 위생과,2024-05-30
128.5204138,35.8154094,81,,일반음식점,982삼미식당,"대구광역시 달서구 월배로11길 22, 1층 (대천동)",대구광역시 달서구 대천동 480-4 ,053-636-3292,,유천동,대구광역시 달서구 위생과,2024-05-30
128.5541349,35.83177559,82,,일반음식점,9988 닭갈비 엔토탈샾,"대구광역시 달서구 월배로88길 23, 2층 (송현동)",대구광역시 달서구 송현동 206-17 ,,,송현1동,대구광역시 달서구 위생과,2024-05-30
128.5446681,35.80866584,83,,일반음식점,9회말회,"대구광역시 달서구 상화로 283 (상인동,(지상1층))",대구광역시 달서구 상인동 1332-199 (지상1층) ,053-603-1235,,상인3동,대구광역시 달서구 위생과,2024-05-30
128.4956946,35.85891221,84,,일반음식점,BBQ대구신당점,"대구광역시 달서구 서당로 79 (신당동,지상1층)",대구광역시 달서구 신당동 1743-1 지상1층 ,053-585-5334,,신당동,대구광역시 달서구 위생과,2024-05-30
128.509451,35.85755061,85,,일반음식점,BBQ성서이곡희망점,"대구광역시 달서구 선원남로 77, 209동 102호 (이곡동,한샘아파트)",대구광역시 달서구 이곡동 1306-1 한샘아파트 209동 102호,053-592-9979,,이곡1동,대구광역시 달서구 위생과,2024-05-30
128.537738,35.81071923,86,,일반음식점,BHC치킨 진천사랑점,"대구광역시 달서구 월곡로45길 118, 지상1층 (상인동)",대구광역시 달서구 상인동 1467-0010 ,053-642-1114,,상인1동,대구광역시 달서구 위생과,2024-05-30
128.5366031,35.85055585,87,,일반음식점,CGV대구죽전,"대구광역시 달서구 달구벌대로 1551, 골든타워 8층 시네마홀컨세션호 (죽전동)",대구광역시 달서구 죽전동 273-27 ,053-211-3865,,죽전동,대구광역시 달서구 위생과,2024-05-30
128.5211199,35.81646383,88,,일반음식점,HAHA(하하)탕후루&솜사탕,"대구광역시 달서구 진천로 77, 301동 1층 121호 (진천동, 진천역 계룡 리슈빌)",대구광역시 달서구 진천동 602 진천역 계룡 리슈빌 ,,,진천동,대구광역시 달서구 위생과,2024-05-30
128.492679,35.85512881,89,,일반음식점,The(더) 103,"대구광역시 달서구 서당로7길 50, 2층 (신당동)",대구광역시 달서구 신당동 1790-19 ,,,신당동,대구광역시 달서구 위생과,2024-05-30
128.5254642,35.85498731,90,,일반음식점,가경,"대구광역시 달서구 장산2길 12, 1층 (용산동)",대구광역시 달서구 용산동 946-5 ,,,용산1동,대구광역시 달서구 위생과,2024-05-30
128.5256155,35.85652636,91,,일반음식점,가득한상,"대구광역시 달서구 용산서로 56, 1층 (용산동)",대구광역시 달서구 용산동 939-13 1층 ,,,용산1동,대구광역시 달서구 위생과,2024-05-30
128.5314509,35.85661431,92,,일반음식점,가람,대구광역시 달서구 달구벌대로301길 151 (용산동),대구광역시 달서구 용산동 934-8 ,053-521-3266,,용산1동,대구광역시 달서구 위생과,2024-05-30
128.5362809,35.84303533,93,,일반음식점,가람,"대구광역시 달서구 장기로 221-15, 1층 (본리동)",대구광역시 달서구 본리동 2-9 ,,,본리동,대구광역시 달서구 위생과,2024-05-30
128.5326363,35.84228886,94,,일반음식점,가람생막창,"대구광역시 달서구 대명천로 250 (장기동,영남 네오빌 비스타 202동 109호)",대구광역시 달서구 장기동 551 영남 네오빌 비스타 202동 109호 ,053-524-6330,,장기동,대구광역시 달서구 위생과,2024-05-30
128.539737,35.84490154,95,,일반음식점,가령식당,"대구광역시 달서구 와룡로28길 43, 1층 (감삼동)",대구광역시 달서구 감삼동 286-20 ,,,감삼동,대구광역시 달서구 위생과,2024-05-30
128.5386989,35.81350053,96,,일반음식점,가마골곤지암소고기국밥,"대구광역시 달서구 월곡로53동길 78, 1층 (상인동)",대구광역시 달서구 상인동 1420 ,,,상인1동,대구광역시 달서구 위생과,2024-05-30
128.5288035,35.84326589,97,,일반음식점,가마솥 돼지국밥,"대구광역시 달서구 장기로57서길 10 (장기동,(지상1층))",대구광역시 달서구 장기동 816-9 (지상1층) ,053-524-0626,,장기동,대구광역시 달서구 위생과,2024-05-30
128.5315858,35.83600318,98,,일반음식점,가마솥달서닭강정&치킨,"대구광역시 달서구 와룡로9길 95-11, 1층 (본동)",대구광역시 달서구 본동 702 ,053-562-5999,,본동,대구광역시 달서구 위생과,2024-05-30
128.5340306,35.83595397,99,,일반음식점,가마솥돼지국밥,대구광역시 달서구 구마로12길 29 (본동),대구광역시 달서구 본동 0870 ,053-624-3892,,본동,대구광역시 달서구 위생과,2024-05-30
128.567896,35.85568457,100,,일반음식점,가마솥돼지국밥,대구광역시 달서구 파도고개로 142 (두류동),대구광역시 달서구 두류동 1273-0041 ,053-629-9505,,두류1.2동,대구광역시 달서구 위생과,2024-05-30
128.526466,35.84661186,101,,일반음식점,가마솥서민통닭,"대구광역시 달서구 한들로 70, 21동 지상1층 106호 (장기동, 장기파랑새마을)",대구광역시 달서구 장기동 0814-0001 장기파랑새마을 21동 106호,053-565-9984,,장기동,대구광역시 달서구 위생과,2024-05-30
128.5557998,35.85356193,102,,일반음식점,가마솥손두부순두부,"대구광역시 달서구 야외음악당로39길 16 (두류동,(지상1층))",대구광역시 달서구 두류동 483-12 (지상1층) ,053-624-8730,,두류3동,대구광역시 달서구 위생과,2024-05-30
128.5313455,35.85803948,103,,일반음식점,가마에꾸운닭(용산직영점),"대구광역시 달서구 달구벌대로301길 183, 1층 (용산동)",대구광역시 달서구 용산동 933-8 ,,,용산1동,대구광역시 달서구 위생과,2024-05-30
128.5077757,35.85442662,104,,일반음식점,가마치통닭,"대구광역시 달서구 성서로 414, 성서롯데시네마 MEGA STAR 1층 115호 (이곡동)",대구광역시 달서구 이곡동 1244-1 성서롯데시네마 ,053-588-7292,,이곡2동,대구광역시 달서구 위생과,2024-05-30
128.5393131,35.84301455,105,,일반음식점,가마치통닭(본리점),"대구광역시 달서구 대명천로38길 49 (본리동,(지상1층))",대구광역시 달서구 본리동 66-19 (지상1층) ,053-521-4378,,본리동,대구광역시 달서구 위생과,2024-05-30
128.5505695,35.809482,106,,일반음식점,가보자아나고곰장어,"대구광역시 달서구 월곡로26안길 20, 지상1층 (상인동)",대구광역시 달서구 상인동 1579-0004 지상1층 ,053-635-8954,,상인3동,대구광역시 달서구 위생과,2024-05-30
128.5492447,35.82954981,107,,일반음식점,가산팔복초밥송현점,"대구광역시 달서구 송현동1길 21, 1층 (송현동)",대구광역시 달서구 송현동 1930-48 ,,,송현2동,대구광역시 달서구 위생과,2024-05-30
128.5566393,35.83931286,108,,일반음식점,가야뒷고기,"대구광역시 달서구 대명천로6길 5, 1층 (성당동)",대구광역시 달서구 성당동 202-30 ,,,성당동,대구광역시 달서구 위생과,2024-05-30
128.5394568,35.81550942,109,,일반음식점,가야산생막창,"대구광역시 달서구 월곡로47길 13, 1층 (상인동)",대구광역시 달서구 상인동 583-125 ,,,상인1동,대구광역시 달서구 위생과,2024-05-30
128.5253055,35.81258986,110,,일반음식점,가야산생오리,대구광역시 달서구 진천로 40 (진천동),대구광역시 달서구 진천동 490-35 ,053-637-5295,,진천동,대구광역시 달서구 위생과,2024-05-30
128.5598204,35.85651062,111,,일반음식점,가야산식당,대구광역시 달서구 두류공원로50길 17 (두류동),대구광역시 달서구 두류동 0141-0001 ,053-624-1348,,두류1.2동,대구광역시 달서구 위생과,2024-05-30
128.544857,35.83325598,112,,일반음식점,가야산식육식당,대구광역시 달서구 송현로 178-1 (송현동),대구광역시 달서구 송현동 0534-0001 ,053-656-6166,,송현2동,대구광역시 달서구 위생과,2024-05-30
128.5486952,35.8069649,113,,일반음식점,가야산참숯불구이,"대구광역시 달서구 상화로62길 31, 1층 (도원동)",대구광역시 달서구 도원동 616-3 ,053-631-2442,,도원동,대구광역시 달서구 위생과,2024-05-30
128.5346616,35.81527336,114,,일반음식점,가야산할매집,"대구광역시 달서구 월곡로53길 89, 지상1층 (상인동)",대구광역시 달서구 상인동 1431-1 (지상1층) ,053-639-3773,,상인2동,대구광역시 달서구 위생과,2024-05-30
128.5513068,35.83145168,115,,일반음식점,가야성,대구광역시 달서구 월배로83길 7 (송현동),대구광역시 달서구 송현동 186-10 ,053-654-0545,,송현2동,대구광역시 달서구 위생과,2024-05-30
128.552289,35.83870229,116,,일반음식점,가야축산,"대구광역시 달서구 대명천로 68, 1층 (성당동)",대구광역시 달서구 성당동 392-44 ,053-657-4000,,성당동,대구광역시 달서구 위생과,2024-05-30
128.5098912,35.85566166,117,,일반음식점,가야한우갈비살,"대구광역시 달서구 선원남로20길 32, 1층 (이곡동)",대구광역시 달서구 이곡동 1238-3 ,,,이곡1동,대구광역시 달서구 위생과,2024-05-30
