기관명,운영상태,소재지(도로명),소재지(지번),위도,경도,전화번호,데이터 기준일자
참대학약국,운영,"대구광역시 북구 팔거천동로 388, B동 1층 (동호동)",대구광역시 북구 동호동 181-9 1층 B동,35.95857215,128.5609482,053-582-1223,2024-07-26
참사랑약국,운영,"대구광역시 북구 연암로 135-2, 1층 (산격동)",대구광역시 북구 산격동 799-3,35.89680782,128.5949488,053-939-7377,2024-07-26
강남당약국,운영,"대구광역시 북구 신암로 99, 1층 (대현동)",대구광역시 북구 대현동 277번지 13호 1층,35.87990724,128.6104758,053-941-2669,2024-07-26
강남당약국,운영,"대구광역시 북구 신암로 99, 1층 (대현동)",대구광역시 북구 대현동 277번지 13호 1층,35.87990724,128.6104758,053-941-2669,2024-07-26
민들레약국,운영,"대구광역시 북구 연암로22길 1, 1층 (산격동)",대구광역시 북구 산격동 845번지 1층,35.89420066,128.5944721,053-942-2669,2024-07-26
박하약국,운영,대구광역시 북구 대현로 88-1 (대현동),대구광역시 북구 대현동 408번지 2호,35.88246964,128.6086327,053-943-3669,2024-07-26
참조은약국,운영,"대구광역시 북구 연암로 184, 1층 (산격동)",대구광역시 북구 산격동 741-16,35.90090737,128.5965287,053-951-5328,2024-07-26
샘결약국,운영,"대구광역시 북구 동북로 160, 2층 (산격동)",대구광역시 북구 산격동 1260번지 2호 2층 일부,35.89929395,128.610094,053-952-0033,2024-07-26
서변제일약국,운영,대구광역시 북구 호국로43길 26 (서변동),대구광역시 북구 서변동 1746번지 5호,35.92120807,128.5963883,053-953-3780,2024-07-26
석약국,운영,"대구광역시 북구 동북로 291, 106호 (복현동)",대구광역시 북구 복현동 337번지 9호 106호,35.89277808,128.6221597,053-955-5406,2024-07-26
새민약국,운영,"대구광역시 북구 동북로 162, 1층 (산격동)",대구광역시 북구 산격동 1260번지 3호 1층,35.89923567,128.6103677,053-956-7585,2024-07-26
금약국,운영,"대구광역시 북구 연암로 190, 1층 (산격동)",대구광역시 북구 산격동 754번지 1호 1층,35.90138311,128.5965058,053-957-5694,2024-07-26
신대학약국,운영,"대구광역시 북구 대학로 91-1, 1층 (산격동)",대구광역시 북구 산격동 1332번지 7호 1층,35.89336647,128.6098772,053-958-4640,2024-07-26
새봄약국,운영,"대구광역시 북구 동화천로 245, 1층 106호 (연경동)",대구광역시 북구 연경동 960 106호,35.94265509,128.617911,053-981-0075,2024-07-26
연경약국,운영,"대구광역시 북구 동화천로 241, 105호 (연경동)",대구광역시 북구 연경동 960-1 105호,35.94264884,128.617379,053-982-1236,2024-07-26
연경동산약국,운영,"대구광역시 북구 연경지묘로 2, 1층 109호 (연경동)",대구광역시 북구 연경동 962-3,35.94219797,128.6153275,053-982-3888,2024-07-26
북구21세기약국,운영,"대구광역시 북구 침산로 93, 319호,320호 (칠성동2가, 스펙트럼시티)","대구광역시 북구 칠성동2가 20번지 1호 319호,320호 스펙트럼시티",35.88522557,128.5897899,053-213-2319,2024-07-26
우리약국,운영,"대구광역시 북구 신암로 27, 103호 (칠성동1가, 굿모닝메디타워)",대구광역시 북구 칠성동1가 151번지 3호 굿모닝메디타워동 103호,35.87525907,128.6054013,053-253-1676,2024-07-26
편안약국,운영,"대구광역시 북구 칠곡중앙대로 393, 3층 (태전동)",대구광역시 북구 태전동 1063번지 3층,35.93089963,128.5478144,053-261-7901,2024-07-26
편안약국,운영,"대구광역시 북구 칠곡중앙대로 393, 3층 (태전동)",대구광역시 북구 태전동 1063번지 3층,35.93089963,128.5478144,053-261-7901,2024-07-26
하늘약국,운영,대구광역시 북구 구리로34길 49 (국우동),대구광역시 북구 국우동 1114-9,35.94712125,128.577116,053-290-7941,2024-07-26
바다약국,운영,"대구광역시 북구 칠곡중앙대로 573, 1층 (읍내동)",대구광역시 북구 읍내동 522번지 1호 1층,35.94683213,128.5509564,053-292-3339,2024-07-26
경북정문약국,운영,"대구광역시 북구 학정로 551-20, 1층 (학정동)",대구광역시 북구 학정동 921번지 1호 1층,35.95449658,128.5651067,053-311-2430,2024-07-26
희망약국,운영,"대구광역시 북구 태전로1길 26, 1층 (태전동)",대구광역시 북구 태전동 204번지 36호 1층,35.92013236,128.5434455,053-311-2488,2024-07-26
봄약국,운영,"대구광역시 북구 칠곡중앙대로 519, 1층 (읍내동)",대구광역시 북구 읍내동 1208번지 2호 1층,35.94213111,128.5502418,053-311-4070,2024-07-26
효민약국,운영,"대구광역시 북구 태전로 3, 1층 (태전동)",대구광역시 북구 태전1동206-2,35.92071729,128.5458269,053-311-7097,2024-07-26
칠곡사랑약국,운영,대구광역시 북구 대천로 94 (동천동),대구광역시 북구 동천동934-5,35.93665513,128.55937,053-311-8025,2024-07-26
인화약국,운영,"대구광역시 북구  매전로  14, 1층 (매천동)",대구광역시 북구 매천동 678번지,35.90849519,128.5435775,053-312-7827,2024-07-26
구주약국,운영,대구광역시 북구 구암로15길 22 (읍내동),대구광역시 북구 읍내동 1346번지,35.93442495,128.5497787,053-312-8623,2024-07-26
동산약국,운영,대구광역시 북구 칠곡중앙대로 457 (관음동),대구광역시 북구 관음동 1386번지 15호,35.9365955,128.5487406,053-314-8575,2024-07-26
대양약국,운영,"대구광역시 북구 태전로7길 2-1, 1층 (태전동)",대구광역시 북구 태전동 257번지 8호 1층,35.92336001,128.5440248,053-314-8601,2024-07-26
메디팜녹색약국,운영,대구광역시 북구 칠곡중앙대로 349 (태전동),대구광역시 북구 태전1동 973-3,35.9268729,128.5472261,053-321-0147,2024-07-26
온누리참조은약국,운영,"대구광역시 북구 관음중앙로 141-1, 1층 (읍내동)",대구광역시 북구 읍내동 1297번지 19호 1층,35.94529698,128.5479178,053-321-0436,2024-07-26
신세계약국,운영,"대구광역시 북구 구암로 135, 1층 (동천동)",대구광역시 북구 동천동 878번지 1층,35.93209925,128.5557097,053-321-3720,2024-07-26
신종합약국,운영,"대구광역시 북구 영송로 85, 205,206호 (태전동, 한신상가)","대구광역시 북구 태전동 936번지 1호 205,206호",35.93279682,128.5426126,053-321-5513,2024-07-26
건강한약국,운영,대구광역시 북구 구암로 146 (구암동),대구광역시 북구 구암동649-4,35.93153755,128.5564337,053-321-6233,2024-07-26
해맑은약국,운영,"대구광역시 북구 학정로 431, 1층 (동천동)",대구광역시 북구 동천동 896번지 4호 1층,35.94331137,128.5632635,053-321-6636,2024-07-26
가람약국,운영,대구광역시 북구 칠곡중앙대로 443 (관음동),대구광역시 북구 관음동 1402번지 4호,35.93536174,128.54856,053-321-7273,2024-07-26
힐링약국,운영,"대구광역시 북구 한강로6길 14-1, 1층 103호 (사수동)",대구광역시 북구 사수동 955번지 1층 103호,35.89608979,128.5149757,053-321-7275,2024-07-26
메디팜보령약국,운영,대구광역시 북구 관음중앙로28길 7 (관음동),대구광역시 북구 관음동 1284번지 3호,35.94445318,128.5471891,053-321-8686,2024-07-26
칠곡강남약국,운영,"대구광역시 북구 칠곡중앙대로 385-1, 1층 (태전동)",대구광역시 북구 태전동 961번지 19호 1층,35.93017202,128.5476067,053-322-0966,2024-07-26
한양온누리약국,운영,"대구광역시 북구 구암로 17, 107호 (관음동, 한양수정아파트상가)",대구광역시 북구 관음동 1370번지 한양수정아파트상가 107호,35.93663893,128.5429342,053-322-2481,2024-07-26
드림약국,운영,"대구광역시 북구 동암로 90, C동 405호 (동천동, 세븐밸리)",대구광역시 북구 동천동 894번지 1호 세븐밸리 c동 405호,35.94413787,128.5603226,053-322-3027,2024-07-26
은혜온누리약국,운영,"대구광역시 북구 학정로 419, 1층 (동천동)",대구광역시 북구 동천동 912번지 2호,35.94211181,128.5630466,053-322-5633,2024-07-26
칠곡경북약국,운영,대구광역시 북구 칠곡중앙대로 386-1 (태전동),대구광역시 북구 태전2동 1003-3,35.93021288,128.5483377,053-322-8998,2024-07-26
해뜨는 약국,운영,"대구광역시 북구 동천로 121, 1층 (동천동)",대구광역시 북구 동천동 908번지 3호 1층,35.94235775,128.5603442,053-322-9954,2024-07-26
다솔약국,운영,대구광역시 북구 구암로 149 (동천동),대구광역시 북구 동천동877-1,35.93197928,128.5571362,053-323-8070,2024-07-26
진성한약국,운영,"대구광역시 북구 학정로 430, 103호 (구암동)",대구광역시 북구 구암동 765번지 5호 103호,35.94300044,128.5640547,053-323-9223,2024-07-26
칠곡우리약국,운영,대구광역시 북구 동암로 6 (읍내동),대구광역시 북구 읍내동 803-2,35.94682129,128.552178,053-323-9954,2024-07-26
한솔약국,운영,대구광역시 북구 칠곡중앙대로 428 (읍내동),대구광역시 북구 읍내동 1343-2,35.93385917,128.5489451,053-325-2888,2024-07-26
팔공약국,운영,"대구광역시 북구 구암로 137, 1층 (동천동)",대구광역시 북구 동천동 878번지 1호 1층,35.93208293,128.5559185,053-325-8030,2024-07-26
늘푸른약국,운영,"대구광역시 북구 대천로 91, 1층 계단쪽호 (동천동)",대구광역시 북구 동천동 931번지 4호 1층 계단쪽,35.9371362,128.5592415,053-325-9249,2024-07-26
칠곡제일약국,운영,대구광역시 북구 칠곡중앙대로 394 (태전동),대구광역시 북구 태전2동 995번지 10호,35.93088031,128.5484247,053-326-0661,2024-07-26
온누리푸른약국,운영,"대구광역시 북구 칠곡중앙대로 504-1, 1층 (읍내동)",대구광역시 북구 읍내동 946번지 3호 (1층),35.94059094,128.5505094,053-326-0802,2024-07-26
온누리낙원약국,운영,대구광역시 북구 칠곡중앙대로 497 (관음동),대구광역시 북구 관음동 1383번지 5호,35.94006969,128.5496811,053-326-1249,2024-07-26
칠곡종합약국,운영,대구광역시 북구 구암로15길 29 (읍내동),대구광역시 북구 읍내동 1341번지 8호,35.93524265,128.549569,053-326-2292,2024-07-26
메디팜큰사랑약국,운영,"대구광역시 북구 칠곡중앙대로 404, 1층 (태전동)",대구광역시 북구 태전동 993번지 12호 1층,35.93179495,128.5486077,053-326-3650,2024-07-26
칠곡두산약국,운영,대구광역시 북구 호국로 807-15 (학정동),대구광역시 북구 학정동 469번지 1호,35.95680528,128.5661087,053-326-5700,2024-07-26
가람대학약국,운영,"대구광역시 북구 학정로109길 41, E동 1층 (학정동)",대구광역시 북구 학정동 527번지 1층 E동,35.95444565,128.5639673,053-326-7720,2024-07-26
칠곡푸른약국,운영,"대구광역시 북구 칠곡중앙대로 427, 1층 (관음동)",대구광역시 북구 관음동 1378번지 4호 1층,35.93391513,128.5483303,053-327-0775,2024-07-26
윤성약국,운영,"대구광역시 북구 학정로 415 (동천동, 105호)",대구광역시 북구 동천동 912-3(105호),35.94184552,128.5629842,053-327-3277,2024-07-26
노원건강한약국,운영,"대구광역시 북구 팔달로 31, 1층 (노원동3가)",대구광역시 북구 노원동3가 545번지 2호 1층,35.89174511,128.5541849,053-341-0330,2024-07-26
편한약국,운영,대구광역시 북구 원대로 42 (고성동2가),대구광역시 북구 고성동2가 116-2,35.88117689,128.5810205,053-341-0405,2024-07-26
메이저 온누리약국,운영,"대구광역시 북구 침산남로 154 (침산동, 103호)",대구광역시 북구 침산2동 265-11(103호),35.88784566,128.5922773,053-341-2002,2024-07-26
온누리옥산약국,운영,대구광역시 북구 호암로 30 (칠성동2가),대구광역시 북구 칠성2가 378-26,35.88233504,128.5938775,053-341-7001,2024-07-26
프라임약국,운영,대구광역시 북구 침산로 138 (침산동),대구광역시 북구 침산동285-5,35.8888084,128.5918725,053-341-7731,2024-07-26
사랑약국,운영,"대구광역시 북구 침산남로 23, 1층 (노원동1가)",대구광역시 북구 노원1가 207-2,35.88875981,128.5787412,053-351-5200,2024-07-26
그린약국,운영,대구광역시 북구 팔달로 225 (노원동2가),대구광역시 북구 노원2가274,35.88805012,128.5748259,053-351-9510,2024-07-26
옵티마소망약국,운영,"대구광역시 북구 팔달로 215-2, 1층 (노원동2가)",대구광역시 북구 노원동2가 281번지 2호 1층,35.88819975,128.5737296,053-352-2562,2024-07-26
동신약국,운영,대구광역시 북구 침산남로7길 6-1 (노원동1가),대구광역시 북구 노원동1가 4번지 4호,35.88949146,128.5796104,053-352-6569,2024-07-26
