업종구분,업소명,지정일자,구군,전화번호,소재지도로명주소,대표메뉴,대표메뉴가격,위도,경도,데이터기준일자
한식(육류),맛있는이오갈비,2023-06-15,북구,053-326-6222,대구광역시 북구 관음중앙로 111,이오갈비(국내산150g),6900,35.9438154458,128.5450204902,2024-06-30
한식(육류),쎈밤,2024-06-10,북구,053-721-7136,"대구광역시 북구 고성북로 37, 1층",국내산삼겹살(150g),7900,35.8832838317,128.5831631385,2024-06-30
이미용업,빛날별,2024-06-10,북구,0507-1332-1031,대구광역시 북구 침산남로13길 13 1층,주니어컷,14000,35.8901031679,128.5813552676,2024-06-30
기타(카페),유우커피플레이스,2024-06-10,북구,010-****-9330,"대구광역시 북구 침산남로31길 14, 1층 102호",아메리카노,3000,35.8891989326,128.5933891449,2024-06-30
한식(육류),꼬맹이치킨,2024-06-10,북구,053-356-5876,"대구광역시 북구 침산로 256-1, 1층",후라이드,15000,35.8990189739,128.5894829569,2024-06-30
한식(육류),맹호식당,2024-06-10,북구,053-427-2759,대구광역시 북구 칠성남로37길 15,삼겹살 150g,9000,35.8776100644,128.6005934846,2024-06-30
한식(육류),열정의닭,2024-06-10,북구,010-****-0299,대구광역시 북구 침산로 74,숯불닭갈비(300g),15000,35.8829172593,128.5902959851,2024-06-30
이미용업,엘리제헤어,2024-06-10,북구,053-357-4669,"대구광역시 북구 침산남로31길 11, 105동 2호",파마,40000,35.8886914203,128.5929197340,2024-06-30
한식(육류),무쇠삼겹,2024-06-10,북구,053-952-3692,대구광역시 북구 연암로 174,촌돼지찌개(1인분),6000,35.8998851086,128.5965020551,2024-06-30
한식(육류),고기한마당,2024-06-10,북구,053-952-7671,대구광역시 북구 대현로9길 52,양념구이 100g,4000,35.8884014209,128.6033951304,2024-06-30
한식(육류),간장홍찜닭,2024-06-10,북구,053-942-9588,대구광역시 북구 대학로 87-1,간장찜닭 반마리,18000,35.8931800122,128.6094816686,2024-06-30
한식(일반),갯바위식당,2024-06-10,북구,053-957-1980,대구광역시 북구 대현남로10길 33,비빔밥,8000,35.8819158371,128.6098270518,2024-06-30
한식(육류),해바라기숯불갈비,2024-06-10,북구,053-942-1250,대구광역시 북구 공항로 10-10,돼지갈비(180g),10500,35.8970554721,128.6166164632,2024-06-30
한식(육류),전통암소숯불갈비,2024-06-10,북구,053-383-9581,대구광역시 북구 검단동로4길 34,돼지갈비(200g),7000,35.9145206828,128.6288457861,2024-06-30
한식(일반),대영식당,2024-06-10,북구,053-381-1160,"대구광역시 북구 검단동로 16, 1층",정식,6000,35.9131607502,128.6259035486,2024-06-30
기타(사진서비스료),학교앞사진관,2024-06-10,북구,070-7781-1111,대구광역시 북구 영송로 14,증명사진(8장),12000,35.9265380768,128.5444166736,2024-06-30
한식(일반),산너머강촌,2024-06-10,북구,010-****-8979,대구광역시 북구 칠곡중앙대로77길 15,모듬전,10000,35.9306483583,128.5463208350,2024-06-30
한식(해산물),바다해포차,2024-06-10,북구,0507-1357-7155,대구광역시 북구 매전로 72-17 2호,회,15000,35.9129140988,128.5476112788,2024-06-30
한식(육류),장군치킨 생닭,2024-06-10,북구,053-322-9997,"대구광역시 북구 한강로6길 20, 106호",후라이드 한마리,10000,35.8953478353,128.5152354528,2024-06-30
이미용업,김채원미용실,2024-06-10,북구,010-****-6505,대구광역시 북구 조야로 57,파마,15000,35.9122305896,128.5767234992,2024-06-30
기타(교육서비스업),TSC 입시학원,2024-06-10,북구,053-719-0598,"대구광역시 북구 학정로 419, 4층",중등부영어,230000,35.9421118087,128.5630466183,2024-06-30
한식(일반),부지갱이,2024-06-10,북구,053-313-3392,대구광역시 북구 동암로38길 3-17,한우국밥,5000,35.9428029375,128.5717708443,2024-06-30
