순번,의료기관명,허가종별,업무상태,의료기관주소(도로명),의료기관행정동주소,위도,경도,대표전화,데이터기준일자
55,칠곡스마일치과교정과치과의원,치과의원,영업중,"대구광역시 북구 학정로 436, DN트윈스 2차 빌딩 6층 601호 (구암동)",대구광역시 북구 구암동 765번지 3호 DN트윈스 2차 빌딩 6층 601호 일부 ,35.94347323,128.5641612,053-719-2854,2024-07-31
56,태전제통의원,의원,영업중,"대구광역시 북구 태전로 9, 2층 201호 (태전동, 경원BD,한우리타운)","대구광역시 북구 태전1동 158번지 경원BD,한우리타운 2층 201",35.92123983,128.5451082,053-322-1353,2024-07-31
57,다봄치과의원,치과의원,영업중,"대구광역시 북구 침산남로 96, 3층 301호 (침산동)",대구광역시 북구 침산3동 430번지 1호 3층 301,35.88896278,128.586253,053-355-3366,2024-07-31
58,원대탑치과의원,치과의원,영업중,"대구광역시 북구 팔달로 175, 3층 (노원동3가)",대구광역시 북구 노원동 781번지 3층 ,35.88890918,128.5693743,053-357-2288,2024-07-31
59,더나은365한의원,한의원,영업중,"대구광역시 북구 동북로 291, 3층 302호, 8층 801호 (복현동)",,35.89277808,128.6221597,053-955-1075,2024-07-31
60,이편한한의원,한의원,영업중,"대구광역시 북구 칠곡중앙대로 426, 4층 (읍내동)",대구광역시 북구 읍내동 1343번지 3호 4층 ,35.93365617,128.5489148,053-312-1580,2024-07-31
61,칠곡본한의원,한의원,영업중,"대구광역시 북구 칠곡중앙대로 555-1, 1층 (읍내동)",,35.94531114,128.550737,053-327-1800,2024-07-31
62,칠곡레오치과의원,치과의원,영업중,"대구광역시 북구 칠곡중앙대로 392, 1층 (태전동)",대구광역시 북구 태전2동 995번지 17호 1층 ,35.93076157,128.5484157,053-286-2828,2024-07-31
63,홍주철신경외과의원,의원,영업중,"대구광역시 북구 침산로 173, 4층 402,403,404호 (침산동)","대구광역시 북구 침산3동 341번지 4호 4층 402, 403, 404호 ",35.89148394,128.5896846,053-356-2220,2024-07-31
64,복현정형외과의원,의원,영업중,"대구광역시 북구 동북로 199, 1,4,5층 (산격동)","대구광역시 북구 산격2동 1289번지 1호 1층,4층5층 ",35.89820571,128.6143035,053-942-3500,2024-07-31
65,흰사슴한의원,한의원,영업중,"대구광역시 북구 호암로 20, 126동 2층 205호 (칠성동2가, 성광우방타운)",,35.88266294,128.5920247,053-356-7666,2024-07-31
66,예일산부인과여성의원,의원,영업중,"대구광역시 북구 학정로 439, 칠곡메가타운 3층 302,306호 (동천동)","대구광역시 북구 동천동 896번지 2호 칠곡메가타운  3층 302호, 306호 ",35.94387919,128.5633389,053-324-3002,2024-07-31
67,퍼스트이비인후과의원,의원,영업중,"대구광역시 북구 동북로 291, 2층 201호 (복현동)",대구광역시 북구 복현2동 337번지 9호 2층 201,35.89277808,128.6221597,053-955-7300,2024-07-31
68,더퍼스트피부과의원,의원,영업중,"대구광역시 북구 침산남로 140, 엠비프라자 7층 701~702호 (침산동)",대구광역시 북구 침산3동 260번지 8호 7층 701~702호 ,35.88808771,128.5909513,053-351-1117,2024-07-31
69,라온치과의원,치과의원,영업중,"대구광역시 북구 칠곡중앙대로 431, 2~3층 (관음동)",대구광역시 북구 관음동 1378번지 1호 2~3층 ,35.93440063,128.5483956,053-311-1000,2024-07-31
70,이클린치과의원,치과의원,영업중,"대구광역시 북구 대천로 85, 2층 (동천동)",대구광역시 북구 동천동 931번지 1호 2층 ,35.93721815,128.5586003,053-325-1199,2024-07-31
71,록원한의원,한의원,영업중,"대구광역시 북구 연경중앙로6길 9, 1층 (연경동)",대구광역시 북구 무태조야동 1032번지 6호 1층 ,35.943783,128.619667,053-986-7554,2024-07-31
72,365강추한의원,한의원,영업중,"대구광역시 북구 팔달로 175, 2층 (노원동3가)",,35.88890918,128.5693743,053-353-1175,2024-07-31
73,서울림치과의원,치과의원,영업중,"대구광역시 북구 연경중앙로 2, 4층 401호 (연경동)",대구광역시 북구 무태조야동 1037번지 2호 4층 401,35.9426613,128.6184932,053-982-1700,2024-07-31
74,소원한의원,한의원,영업중,"대구광역시 북구 학정로 435, 2층 (동천동)",,35.94356118,128.5633043,053-312-1256,2024-07-31
75,연경바른내과의원,의원,영업중,"대구광역시 북구 연경지묘로 6, 3층 302호 (연경동)",대구광역시 북구 무태조야동 949번지 1호 3층 302,35.94248626,128.6151186,053-981-2500,2024-07-31
76,신세계한의원,한의원,영업중,"대구광역시 북구 학정로 415, 메가타운 4층 403호 (동천동)",,35.94184552,128.5629842,053-326-6675,2024-07-31
77,감송한의원,한의원,영업중,"대구광역시 북구 동천로23길 14, 2층 201-2호 (동천동)",대구광역시 북구 동천동 907번지 9호 2층 201-2호 ,35.94230418,128.5591689,053-323-6800,2024-07-31
78,봄빛연합소아청소년과의원,의원,영업중,"대구광역시 북구 동화천로 241, 연경그랜드타워 2층 201호 (연경동)",대구광역시 북구 무태조야동 960번지 1호 연경그랜드타워 2층 201,35.94264884,128.617379,053-801-2500,2024-07-31
79,류마척제통내과의원,의원,영업중,"대구광역시 북구 연경지묘로 2, 3층 302,303호 (연경동)","대구광역시 북구 무태조야동 962번지 3호 3층 302호, 303호 ",35.942223,128.615213,053-984-8255,2024-07-31
80,연경에스치과의원,치과의원,영업중,"대구광역시 북구 연경지묘로 2, 2층 202,203호 (연경동)","대구광역시 북구 무태조야동 962번지 3호 2층, 202호 203호 ",35.942223,128.615213,053-952-2828,2024-07-31
81,라라유외과의원,의원,영업중,"대구광역시 북구 팔거천동로 206, 6층 601,602,603호 (동천동)","대구광역시 북구 동천동 905번지 3호 6층 601호,602호,603호 ",35.94242053,128.5584119,053-313-6868,2024-07-31
82,연경연합이비인후과의원,의원,영업중,"대구광역시 북구 동화천로 245, 3층 304호 (연경동)",대구광역시 북구 무태조야동 960번지 3층 304,35.94265509,128.617911,053-954-8575,2024-07-31
83,온아한의원,한의원,영업중,"대구광역시 북구 내곡로 38, 우정플라자 3층 301호 (사수동)",대구광역시 북구 관문동 821번지 우정플라자 3층 301,35.89898859,128.5098975,053-323-5575,2024-07-31
84,침산한의원,한의원,영업중,"대구광역시 북구 침산남로 147, 지하1, 1층 (침산동)","대구광역시 북구 침산1동 267번지 6호 지하1층, 1층 ",35.88856855,128.5921619,053-356-8783,2024-07-31
85,경대에스비뇨의학과의원,의원,영업중,"대구광역시 북구 팔거천동로 223, 수정빌딩 4층 401,403호 (동천동)","대구광역시 북구 동천동 951번지 2호 수정빌딩 4층 401호, 403호 ",35.94398644,128.5579185,053-216-0119,2024-07-31
86,참든든한마취통증의학과의원,의원,영업중,"대구광역시 북구 동북로 168, 4층 (산격동)",대구광역시 북구 산격3동 1260번지 6호 4층 ,35.89905021,128.6108447,053-954-7200,2024-07-31
87,침산이튼튼치과의원,치과의원,영업중,"대구광역시 북구 침산로 173, 시그니처타워 3층 (침산동)",대구광역시 북구 침산3동 341번지 4호 시그니처타워 3층 ,35.89148394,128.5896846,053-356-7575,2024-07-31
88,지음치과의원,치과의원,영업중,"대구광역시 북구 학정로 416, 3층 (구암동)",대구광역시 북구 구암동 769번지 3호 3층 ,35.94179538,128.5638106,053-710-9942,2024-07-31
89,더바른한의원,한의원,영업중,"대구광역시 북구 옥산로 95, 화인탑펠리스 4층 301,302,303호 (칠성동2가)",,35.88463386,128.5859339,053-355-0000,2024-07-31
90,강남정신건강의학과의원,의원,영업중,"대구광역시 북구 신암로 111, 강남메디컬타워 3층 303호 (대현동)",대구광역시 북구 대현동 274번지 65호 강남메디컬타워 303,35.88083558,128.6112895,053-939-0675,2024-07-31
91,든든한배연합내과의원,의원,영업중,"대구광역시 북구 침산로 173, 2층 203호 (침산동)",대구광역시 북구 침산3동 341번지 4호 2층 203,35.89148394,128.5896846,053-351-7070,2024-07-31
92,다바른치과의원,치과의원,영업중,"대구광역시 북구 침산로 152, 2층 (침산동, 메트로 캐슬)",대구광역시 북구 침산2동 293번지 13호 메트로 캐슬 2층 ,35.88980412,128.5910798,053-716-2080,2024-07-31
93,칠곡속내과의원,의원,영업중,"대구광역시 북구 팔거천동로 222, 동천 메디빌 빌딩 2층 202,203일부호 (동천동)",대구광역시 북구 동천동 892번지 3호 동천 메디빌 빌딩 ,35.94365085,128.5586407,053-327-0300,2024-07-31
94,새별소아청소년과의원,의원,영업중,"대구광역시 북구 침산로 168, 5층 505호 (침산동)",대구광역시 북구 침산3동 329번지 2호 5층 505,35.89119167,128.5906126,053-710-7975,2024-07-31
95,경대속사랑내과의원,의원,영업중,"대구광역시 북구 대현남로6길 11, 3층 (대현동)",대구광역시 북구 대현동 390번지 1호 3층 ,35.8810503,128.6085824,053-942-7575,2024-07-31
96,경희정수한의원,한의원,영업중,"대구광역시 북구 대현남로 41, 1층 (대현동)",,35.88172644,128.6073297,053-941-9990,2024-07-31
97,김지은정신건강의학과의원,의원,영업중,"대구광역시 북구 침산남로 140, 엠비프라자 4층 403호 (침산동)",대구광역시 북구 침산3동 260번지 8호 엠비프라자4층 403,35.88808771,128.5909513,053-356-7566,2024-07-31
98,배동렬한의원,한의원,영업중,"대구광역시 북구 태전로 25, 3층 (태전동)",,35.92262816,128.5447276,053-311-7599,2024-07-31
99,원마디의원,의원,영업중,"대구광역시 북구 침산로 124, 3층,4층 (침산동)","대구광역시 북구 침산2동 245번지 8호 3층,4층 ",35.88729176,128.5917513,053-269-7575,2024-07-31
100,참재활의학과의원,의원,영업중,"대구광역시 북구 침산로 168, 5층 502, 503호 (침산동)","대구광역시 북구 침산2동 329번지 2호 5층 502, 503호 ",35.89119167,128.5906126,053-357-0033,2024-07-31
101,메트로치과의원,치과의원,영업중,"대구광역시 북구 대현남로6길 11, 4층 (대현동)",대구광역시 북구 대현동 390번지 1호 4층 ,35.8810503,128.6085824,053-959-7528,2024-07-31
102,본울림한의원,한의원,영업중,"대구광역시 북구 신암로 111, 3층 304호 (대현동)",대구광역시 북구 대현동 274번지 65호 3층 304,35.88083558,128.6112895,053-939-6780,2024-07-31
103,늘편한속연합내과의원,의원,영업중,"대구광역시 북구 침산남로 154, 메이저타워 2층 201호 (침산동)","대구광역시 북구 침산2동 265번지 11호 메이저타워, 2층 201",35.88784566,128.5922773,053-351-9070,2024-07-31
104,웅한의원,한의원,영업중,"대구광역시 북구 중앙대로 517, 2층 (칠성동2가)",대구광역시 북구 칠성동 343번지 11호 2층 ,35.8792083,128.5952929,053-357-7510,2024-07-31
105,드림이비인후과의원,의원,영업중,"대구광역시 북구 침산로 173, 시그니처타워 5층 503호 (침산동)",대구광역시 북구 침산1동 341번지 4호 5층 503,35.89148394,128.5896846,053-641-1414,2024-07-31
106,태양한의원,한의원,영업중,"대구광역시 북구 칠성시장로 34, D동 2층 2호 (칠성동1가)",,35.87702959,128.6039134,053-263-2335,2024-07-31
107,경대수내과의원,의원,영업중,"대구광역시 북구 동천로23길 30-23, 3층 301~304호 (동천동)","대구광역시 북구 동천동 953번지 1호 3층, 301~304호 ",35.94398623,128.557067,053-326-0099,2024-07-31
108,강남연합정형외과의원,의원,영업중,"대구광역시 북구 대현남로6길 11, 1층,3층일부,4층일부,5층 (대현동)","대구광역시 북구 대현동 390번지 1호 1층,3층일부,4층일부,5층 ",35.8810503,128.6085824,053-242-0119,2024-07-31
109,기쁨큰치과의원,치과의원,영업중,"대구광역시 북구 침산로 168, 4층 403호 (침산동)",대구광역시 북구 침산2동 329번지 2호 ,35.89119167,128.5906126,053-326-7500,2024-07-31
110,크리스마스치과의원,치과의원,영업중,"대구광역시 북구 내곡로 38, 402호 (사수동)",대구광역시 북구 관문동 821번지 402,35.89898859,128.5098975,053-326-0075,2024-07-31
111,서울성모의원,의원,영업중,"대구광역시 북구 서변로 97, 1층 (서변동)",,35.92457706,128.5965503,053-939-7577,2024-07-31
112,영재한의원,한의원,영업중,"대구광역시 북구 내곡로 38-2, 202호 (사수동)",대구광역시 북구 관문동 826번지 202,35.89893555,128.510339,053-327-1075,2024-07-31
113,홍안과의원,의원,영업중,"대구광역시 북구 침산로 138, 명성프라임 3층 301호 (침산동)",대구광역시 북구 침산2동 285번지 5호 명성프라임 301,35.8888084,128.5918725,053-356-1040,2024-07-31
114,중앙연합정형외과 가정의학과의원,의원,영업중,"대구광역시 북구 옥산로 95, 화인탑펠리스 5층 403, 404호 (칠성동2가)","대구광역시 북구 칠성동 90번지 화인탑펠리스 5층 403, 404호 ",35.88463386,128.5859339,053-356-8899,2024-07-31
115,김앤박치과의원,치과의원,영업중,"대구광역시 북구 학정로 419, 동천동빌딩 402, 403호 (동천동)","대구광역시 북구 동천동 912번지 2호 동천동빌, 402,403호 ",35.94211181,128.5630466,053-323-2804,2024-07-31
116,파티마연합의원,의원,영업중,"대구광역시 북구 칠곡중앙대로 450, 4층 402,403,404호 (읍내동)","대구광역시 북구 읍내동 1341번지 4층, 402,403,404호 ",35.9359091,128.549446,053-312-6500,2024-07-31
117,큰사랑연합의원,의원,영업중,"대구광역시 북구 태전로 1, 101동 202호 (태전동, 태전역 더 뉴클래스)",대구광역시 북구 태전1동 206번지 10호 태전역 더 뉴클래스 101 202,35.9203356,128.5459503,053-322-7545,2024-07-31
118,고운미의원,의원,영업중,"대구광역시 북구 침산로 124, 2층 (침산동)",대구광역시 북구 침산2동 245번지 8호 2층 ,35.88729176,128.5917513,053-352-0070,2024-07-31
119,두드림정신건강의학과의원,의원,영업중,"대구광역시 북구 침산로 138, 명성프라임 3층 305호 (침산동)",대구광역시 북구 침산2동 285번지 5호 명성프라임 3층 305,35.8888084,128.5918725,053-354-8275,2024-07-31
120,오페라치과의원,치과의원,영업중,"대구광역시 북구 침산로 100, 302동 207,208호 (칠성동2가, 오페라삼정그린코아더베스트)","대구광역시 북구 칠성동 733번지 오페라삼정그린코아더베스트 302 207,2",35.88519604,128.591318,053-357-7528,2024-07-31
121,경희사랑한의원,한의원,영업중,"대구광역시 북구 침산로 100, 302동 204호 (칠성동2가, 오페라삼정그린코아더베스트)",,35.88519604,128.591318,053-351-8777,2024-07-31
122,팔달한의원,한의원,영업중,"대구광역시 북구 팔달로33길 16-18, 2~3층 (노원동3가)",,35.88922936,128.5688361,053-355-5550,2024-07-31
123,동영연합의원,의원,영업중,"대구광역시 북구 연암로 170, 1층,3층 (산격동)","대구광역시 북구 산격1동 748번지 10호 1층, 3층 ",35.89957883,128.5964399,053-956-5757,2024-07-31
124,복현순치과의원,치과의원,영업중,"대구광역시 북구 동북로 345 (복현동, 복현푸르지오)",대구광역시 북구 복현2동 694번지 ,35.89258902,128.627348,053-939-2080,2024-07-31
125,바른속내과의원,의원,영업중,"대구광역시 북구 동북로 291, 401호 (복현동)",대구광역시 북구 복현2동 337번지 9호 401,35.89277808,128.6221597,053-941-0088,2024-07-31
126,바른정신건강의학과의원,의원,영업중,"대구광역시 북구 동북로 168, 5층 (산격동)",,35.89905021,128.6108447,053-955-7512,2024-07-31
127,베스트인치과의원,치과의원,영업중,"대구광역시 북구 동북로 291, 502호 (복현동)",대구광역시 북구 복현2동 337번지 9호 502,35.89277808,128.6221597,053-939-2800,2024-07-31
128,칠곡경대정신건강의학과의원,의원,영업중,"대구광역시 북구 칠곡중앙대로 393, 2층 (태전동)",대구광역시 북구 태전1동 1063번지 ,35.93089963,128.5478144,053-321-9800,2024-07-31
129,마디척재활의학과의원,의원,영업중,"대구광역시 북구 침산남로 155, 1,4층 (침산동)","대구광역시 북구 침산2동 222번지 4호 1,4층 ",35.88816829,128.5928327,053-353-9698,2024-07-31
130,연세고운의원,의원,영업중,"대구광역시 북구 내곡로 34, 301호 (사수동)",대구광역시 북구 관문동 823번지 301호 ,35.89864639,128.5098497,053-324-1103,2024-07-31
131,더편한연합정형외과의원,의원,영업중,"대구광역시 북구 팔달로 191, 1층, 2층 (노원동2가)","대구광역시 북구 노원동 373번지 2호 1층, 2층 ",35.88862242,128.5710636,053-283-0119,2024-07-31
132,예스치과의원,치과의원,영업중,"대구광역시 북구 내곡로 36, 3층 301,302호 (사수동)",,35.89881893,128.5098593,053-323-7522,2024-07-31
133,침산올바른마취통증의학과의원,의원,영업중,"대구광역시 북구 침산로 144, 3층 (침산동)",대구광역시 북구 침산2동 285번지 4호 3층 ,35.88925904,128.5915139,053-267-7373,2024-07-31
134,365늘속편한내과의원,의원,영업중,"대구광역시 북구 학정로 440, 5층 (구암동)",대구광역시 북구 구암동 765번지 2호 ,35.9437659,128.5642531,053-325-0365,2024-07-31
135,경신한의원,한의원,영업중,"대구광역시 북구 칠성남로 226-2, 2층 (칠성동1가)",대구광역시 북구 칠성동 157번지 1호 2층 ,35.87593896,128.6049169,053-431-1075,2024-07-31
136,우리연합내과의원,의원,영업중,"대구광역시 북구 내곡로 38, 2층 201호,202호 (사수동)","대구광역시 북구 관문동 821번지 201호,202호 ",35.89898859,128.5098975,053-322-1166,2024-07-31
137,칠곡리더스치과의원,치과의원,영업중,"대구광역시 북구 칠곡중앙대로 393, 2층 (태전동)",,35.93089963,128.5478144,053-312-2828,2024-07-31
